,result,table,duration_in_ms,event_code,header.cycle_id,header.run_id,tag,timestamp,user_message
0,_result,0,0.0,100.0,18,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317824.0880888,TASK_START
1,_result,0,0.0,200.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317824.1221151,CYCLE_START
2,_result,0,0.0,300.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632317825.395284,QA_PASS
3,_result,0,0.0,300.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632317830.8505874,QA_PASS
4,_result,0,0.0,102.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317830.8843274,TASK_PAUSED
5,_result,0,2474.0,103.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317833.3467069,TASK_RESUMED
6,_result,0,0.0,301.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632317839.346713,QA_FAIL
7,_result,0,0.0,201.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317839.3657808,CYCLE_END
8,_result,0,15268.0,202.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317839.3907378,CYCLE_TIME
9,_result,0,0.0,300.0,0,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632317839.420716,QA_PASS
10,_result,0,0.0,200.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317839.9316576,CYCLE_START
11,_result,0,0.0,300.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632317843.4658027,QA_PASS
12,_result,0,0.0,301.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632317844.2626824,QA_FAIL
13,_result,0,0.0,102.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317844.2989593,TASK_PAUSED
14,_result,0,2608.0,103.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317846.933056,TASK_RESUMED
15,_result,0,0.0,300.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632317852.4066179,QA_PASS
16,_result,0,0.0,201.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317852.43565,CYCLE_END
17,_result,0,12545.0,202.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317852.463223,CYCLE_TIME
18,_result,0,0.0,300.0,1,RAFCON_6fe11a087d844888b527cad1140070f4,cycle,1632317852.4953089,QA_PASS
19,_result,0,0.0,200.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317852.557461,CYCLE_START
20,_result,0,0.0,300.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,step_1,1632317859.492464,QA_PASS
21,_result,0,0.0,301.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,step_2,1632317860.0640986,QA_FAIL
22,_result,0,0.0,102.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317860.1522803,TASK_PAUSED
23,_result,0,2160.0,103.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317862.2560017,TASK_RESUMED
24,_result,0,0.0,300.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,step_3,1632317871.224563,QA_PASS
25,_result,0,0.0,201.0,2,RAFCON_6fe11a087d844888b527cad1140070f4,,1632317871.2438393,CYCLE_END
