#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,last,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:34.958Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:35.612Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:35.64Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:35.66Z,6818,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:35.676Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:35.69Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:38.424Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:40.418Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:40.452Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:41.996Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:42.138Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:42.148Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:42.16Z,6469,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:42.17Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:42.188Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:44.998Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:46.266Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:46.296Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:46.368Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:48.184Z,0,duration_in_ms,EventClient
,,0,2022-03-22T09:32:11.144381689Z,2022-03-22T21:32:11.144381689Z,2022-03-22T21:10:48.212Z,0,duration_in_ms,EventClient
